concentration,Gl SET 1,Gl SET 2,Gl SET 3
186,26933.04,26740.84,26622.2
187,26846.68,26645.28,26535.4
188,26760.32,26549.72,26448.6
189,26673.96,26454.16,26361.8
190,26587.6,26358.6,26275.0
191,26501.24,26263.04,26188.2
192,26414.88,26167.48,26101.4
193,26328.52,26071.92,26014.6
194,26242.16,25976.36,25927.8
195,26155.8,25880.8,25841.0
196,26069.44,25785.239999999998,25754.2
197,25983.08,25689.68,25667.4
198,25896.72,25594.12,25580.6
199,25810.36,25498.559999999998,25493.8
200,25724.0,25403.0,25407.0
201,25664.18,25347.32,25344.92
202,25604.36,25291.64,25282.84
203,25544.54,25235.96,25220.76
204,25484.72,25180.28,25158.68
205,25424.9,25124.6,25096.6
206,25365.08,25068.92,25034.52
207,25305.26,25013.24,24972.44
208,25245.44,24957.56,24910.36
209,25185.62,24901.88,24848.28
210,25125.8,24846.2,24786.2
211,25065.98,24790.52,24724.12
212,25006.16,24734.84,24662.04
213,24946.34,24679.16,24599.96
214,24886.52,24623.48,24537.88
215,24826.7,24567.8,24475.8
216,24766.88,24512.12,24413.72
217,24707.06,24456.44,24351.64
218,24647.24,24400.76,24289.56
219,24587.42,24345.08,24227.48
220,24527.6,24289.4,24165.4
221,24467.78,24233.72,24103.32
222,24407.96,24178.04,24041.24
223,24348.14,24122.36,23979.16
224,24288.32,24066.68,23917.08
225,24228.5,24011.0,23855.0
226,24168.68,23955.32,23792.92
227,24108.86,23899.64,23730.84
228,24049.04,23843.96,23668.76
229,23989.22,23788.28,23606.68
230,23929.4,23732.6,23544.6
231,23869.58,23676.92,23482.52
232,23809.76,23621.24,23420.44
233,23749.94,23565.56,23358.36
234,23690.12,23509.88,23296.28
235,23630.3,23454.2,23234.2
236,23570.48,23398.52,23172.12
237,23510.66,23342.84,23110.04
238,23450.84,23287.16,23047.96
239,23391.02,23231.48,22985.88
240,23331.2,23175.8,22923.8
241,23271.38,23120.12,22861.72
242,23211.56,23064.44,22799.64
243,23151.739999999998,23008.760000000002,22737.56
244,23091.92,22953.08,22675.48
245,23032.1,22897.4,22613.4
246,22972.28,22841.72,22551.32
247,22912.46,22786.04,22489.24
248,22852.64,22730.36,22427.16
249,22792.82,22674.68,22365.08
250,22733.0,22619.0,22303.0
251,22660.32,22555.76,22251.38
252,22587.64,22492.52,22199.76
253,22514.96,22429.28,22148.14
254,22442.28,22366.04,22096.52
255,22369.6,22302.8,22044.9
256,22296.92,22239.56,21993.28
257,22224.24,22176.32,21941.66
258,22151.56,22113.08,21890.04
259,22078.88,22049.84,21838.42
260,22006.2,21986.6,21786.8
261,21933.52,21923.36,21735.18
262,21860.84,21860.12,21683.56
263,21788.16,21796.88,21631.94
264,21715.48,21733.64,21580.32
265,21642.8,21670.4,21528.7
266,21570.12,21607.16,21477.08
267,21497.44,21543.92,21425.46
268,21424.76,21480.68,21373.84
269,21352.08,21417.44,21322.22
270,21279.4,21354.2,21270.6
271,21206.72,21290.96,21218.98
272,21134.04,21227.72,21167.36
273,21061.36,21164.48,21115.74
274,20988.68,21101.24,21064.12
275,20916.0,21038.0,21012.5
276,20843.32,20974.76,20960.88
277,20770.64,20911.52,20909.26
278,20697.96,20848.28,20857.64
279,20625.28,20785.04,20806.02
280,20552.6,20721.8,20754.4
281,20479.92,20658.56,20702.78
282,20407.239999999998,20595.32,20651.16
283,20334.56,20532.08,20599.54
284,20261.88,20468.84,20547.92
285,20189.2,20405.6,20496.3
286,20116.52,20342.36,20444.68
287,20043.84,20279.12,20393.06
288,19971.16,20215.88,20341.44
289,19898.48,20152.64,20289.82
290,19825.8,20089.4,20238.2
291,19753.12,20026.16,20186.58
292,19680.44,19962.92,20134.96
293,19607.76,19899.68,20083.34
294,19535.08,19836.44,20031.72
295,19462.4,19773.2,19980.1
296,19389.72,19709.96,19928.48
297,19317.04,19646.72,19876.86
298,19244.36,19583.48,19825.24
299,19171.68,19520.239999999998,19773.62
300,19099.0,19457.0,19722.0
301,19063.68,19419.42,19677.06
302,19028.36,19381.84,19632.12
303,18993.04,19344.26,19587.18
304,18957.72,19306.68,19542.24
305,18922.4,19269.1,19497.3
306,18887.08,19231.52,19452.36
307,18851.76,19193.94,19407.42
308,18816.44,19156.36,19362.48
309,18781.12,19118.78,19317.54
310,18745.8,19081.2,19272.6
311,18710.48,19043.62,19227.66
312,18675.16,19006.04,19182.72
313,18639.84,18968.46,19137.78
314,18604.52,18930.88,19092.84
315,18569.2,18893.3,19047.9
316,18533.88,18855.72,19002.96
317,18498.56,18818.14,18958.02
318,18463.24,18780.56,18913.08
319,18427.92,18742.98,18868.14
320,18392.6,18705.4,18823.2
321,18357.28,18667.82,18778.26
322,18321.96,18630.24,18733.32
323,18286.64,18592.66,18688.38
324,18251.32,18555.08,18643.44
325,18216.0,18517.5,18598.5
326,18180.68,18479.92,18553.56
327,18145.36,18442.34,18508.62
328,18110.04,18404.76,18463.68
329,18074.72,18367.18,18418.74
330,18039.4,18329.6,18373.8
331,18004.08,18292.02,18328.86
332,17968.76,18254.44,18283.92
333,17933.44,18216.86,18238.98
334,17898.12,18179.28,18194.04
335,17862.8,18141.7,18149.1
336,17827.48,18104.12,18104.16
337,17792.16,18066.54,18059.22
338,17756.84,18028.96,18014.28
339,17721.52,17991.38,17969.34
340,17686.2,17953.8,17924.4
341,17650.88,17916.22,17879.46
342,17615.56,17878.64,17834.52
343,17580.24,17841.06,17789.58
344,17544.92,17803.48,17744.64
345,17509.6,17765.9,17699.7
346,17474.28,17728.32,17654.760000000002
347,17438.96,17690.74,17609.82
348,17403.64,17653.16,17564.88
349,17368.32,17615.58,17519.94
350,17333.0,17578.0,17475.0
351,17295.78,17543.04,17438.12
352,17258.56,17508.08,17401.24
353,17221.34,17473.12,17364.36
354,17184.12,17438.16,17327.48
355,17146.9,17403.2,17290.6
356,17109.68,17368.24,17253.72
357,17072.46,17333.28,17216.84
358,17035.24,17298.32,17179.96
359,16998.02,17263.36,17143.08
360,16960.8,17228.4,17106.2
361,16923.58,17193.44,17069.32
362,16886.36,17158.48,17032.44
363,16849.14,17123.52,16995.56
364,16811.92,17088.56,16958.68
365,16774.7,17053.6,16921.8
366,16737.48,17018.64,16884.92
367,16700.26,16983.68,16848.04
368,16663.04,16948.72,16811.16
369,16625.82,16913.76,16774.28
370,16588.6,16878.8,16737.4
371,16551.38,16843.84,16700.52
372,16514.16,16808.88,16663.64
373,16476.94,16773.92,16626.76
374,16439.72,16738.96,16589.88
375,16402.5,16704.0,16553.0
376,16365.28,16669.04,16516.12
377,16328.06,16634.08,16479.24
378,16290.84,16599.12,16442.36
379,16253.62,16564.16,16405.48
380,16216.4,16529.2,16368.6
381,16179.18,16494.24,16331.72
382,16141.96,16459.28,16294.84
383,16104.74,16424.32,16257.96
384,16067.52,16389.36,16221.08
385,16030.3,16354.4,16184.2
386,15993.08,16319.44,16147.32
387,15955.86,16284.48,16110.44
388,15918.64,16249.52,16073.56
389,15881.42,16214.56,16036.68
390,15844.2,16179.6,15999.8
391,15806.98,16144.64,15962.92
392,15769.76,16109.68,15926.04
393,15732.54,16074.72,15889.16
394,15695.32,16039.76,15852.28
395,15658.1,16004.8,15815.4
396,15620.880000000001,15969.84,15778.52
397,15583.66,15934.88,15741.64
398,15546.44,15899.92,15704.76
399,15509.22,15864.96,15667.88
400,15472.0,15830.0,15631.0
401,15442.36,15800.52,15604.6
402,15412.72,15771.04,15578.2
403,15383.08,15741.56,15551.8
404,15353.44,15712.08,15525.4
405,15323.8,15682.6,15499.0
406,15294.16,15653.12,15472.6
407,15264.52,15623.64,15446.2
408,15234.88,15594.16,15419.8
409,15205.24,15564.68,15393.4
410,15175.6,15535.2,15367.0
411,15145.96,15505.72,15340.6
412,15116.32,15476.24,15314.2
413,15086.68,15446.76,15287.8
414,15057.04,15417.28,15261.4
415,15027.4,15387.8,15235.0
416,14997.76,15358.32,15208.6
417,14968.12,15328.84,15182.2
418,14938.48,15299.36,15155.8
419,14908.84,15269.88,15129.4
420,14879.2,15240.4,15103.0
421,14849.56,15210.92,15076.6
422,14819.92,15181.44,15050.2
423,14790.28,15151.96,15023.8
424,14760.64,15122.48,14997.4
425,14731.0,15093.0,14971.0
426,14701.36,15063.52,14944.6
427,14671.72,15034.04,14918.2
428,14642.08,15004.56,14891.8
429,14612.44,14975.08,14865.4
430,14582.8,14945.6,14839.0
431,14553.16,14916.12,14812.6
432,14523.52,14886.64,14786.2
433,14493.88,14857.16,14759.8
434,14464.24,14827.68,14733.4
435,14434.6,14798.2,14707.0
436,14404.96,14768.72,14680.6
437,14375.32,14739.24,14654.2
438,14345.68,14709.76,14627.8
439,14316.04,14680.28,14601.4
440,14286.4,14650.8,14575.0
441,14256.76,14621.32,14548.6
442,14227.119999999999,14591.84,14522.2
443,14197.48,14562.36,14495.8
444,14167.84,14532.88,14469.4
445,14138.2,14503.4,14443.0
446,14108.56,14473.92,14416.6
447,14078.92,14444.44,14390.2
448,14049.28,14414.96,14363.8
449,14019.64,14385.48,14337.4
450,13990.0,14356.0,14311.0
451,13974.28,14336.28,14283.24
452,13958.56,14316.56,14255.48
453,13942.84,14296.84,14227.72
