concentration,Ca SET1,Ca SET2,Ca SET3
0.038461538461538464,40901.61538461538,39239.153846153844,39682.5
0.07692307692307693,40866.230769230766,39249.307692307695,39677.0
0.11538461538461539,40830.846153846156,39259.46153846154,39671.5
0.15384615384615385,40795.46153846154,39269.61538461538,39666.0
0.19230769230769232,40760.07692307692,39279.769230769234,39660.5
0.23076923076923078,40724.692307692305,39289.92307692308,39655.0
0.2692307692307693,40689.307692307695,39300.07692307692,39649.5
0.3076923076923077,40653.92307692308,39310.230769230766,39644.0
0.34615384615384615,40618.53846153846,39320.38461538462,39638.5
0.38461538461538464,40583.153846153844,39330.53846153846,39633.0
0.42307692307692313,40547.769230769234,39340.692307692305,39627.5
0.46153846153846156,40512.38461538462,39350.846153846156,39622.0
0.5,40477.0,39361.0,39616.5
0.5384615384615385,40441.61538461538,39371.153846153844,39611.0
0.576923076923077,40406.230769230766,39381.307692307695,39605.5
0.6153846153846154,40370.846153846156,39391.46153846154,39600.0
0.6538461538461539,40335.46153846154,39401.61538461538,39594.5
0.6923076923076923,40300.07692307692,39411.769230769234,39589.0
0.7307692307692308,40264.692307692305,39421.92307692308,39583.5
0.7692307692307693,40229.307692307695,39432.07692307692,39578.0
0.8076923076923077,40193.92307692308,39442.230769230766,39572.5
0.8461538461538463,40158.53846153846,39452.38461538462,39567.0
0.8846153846153847,40123.153846153844,39462.53846153846,39561.5
0.9230769230769231,40087.769230769234,39472.692307692305,39556.0
0.9615384615384616,40052.38461538462,39482.846153846156,39550.5
1.0384615384615385,39979.03846153846,39457.0,39499.192307692305
1.0769230769230769,39941.07692307692,39421.0,39453.38461538462
1.1153846153846154,39903.11538461538,39385.0,39407.57692307692
1.1538461538461537,39865.153846153844,39349.0,39361.769230769234
1.1923076923076923,39827.192307692305,39313.0,39315.96153846154
1.2307692307692308,39789.230769230766,39277.0,39270.153846153844
1.2692307692307692,39751.269230769234,39241.0,39224.346153846156
1.3076923076923077,39713.307692307695,39205.0,39178.53846153846
1.3461538461538463,39675.346153846156,39169.0,39132.730769230766
1.3846153846153846,39637.38461538462,39133.0,39086.92307692308
1.4230769230769231,39599.42307692308,39097.0,39041.11538461538
1.4615384615384617,39561.46153846154,39061.0,38995.307692307695
1.5,39523.5,39025.0,38949.5
1.5384615384615385,39485.53846153846,38989.0,38903.692307692305
1.576923076923077,39447.57692307692,38953.0,38857.88461538462
1.6153846153846154,39409.61538461538,38917.0,38812.07692307692
1.6538461538461537,39371.653846153844,38881.0,38766.269230769234
1.6923076923076923,39333.692307692305,38845.0,38720.46153846154
1.7307692307692308,39295.730769230766,38809.0,38674.653846153844
1.7692307692307692,39257.769230769234,38773.0,38628.846153846156
1.8076923076923077,39219.807692307695,38737.0,38583.03846153846
1.8461538461538463,39181.846153846156,38701.0,38537.230769230766
1.8846153846153846,39143.88461538462,38665.0,38491.42307692308
1.9230769230769231,39105.92307692308,38629.0,38445.61538461538
1.9615384615384617,39067.96153846154,38593.0,38399.807692307695
2.0384615384615383,39000.42307692308,38515.807692307695,38339.0
2.076923076923077,38970.846153846156,38474.61538461538,38324.0
2.1153846153846154,38941.269230769234,38433.42307692308,38309.0
2.1538461538461537,38911.692307692305,38392.230769230766,38294.0
2.1923076923076925,38882.11538461538,38351.03846153846,38279.0
2.230769230769231,38852.53846153846,38309.846153846156,38264.0
2.269230769230769,38822.96153846154,38268.653846153844,38249.0
2.3076923076923075,38793.38461538462,38227.46153846154,38234.0
2.3461538461538463,38763.807692307695,38186.269230769234,38219.0
2.3846153846153846,38734.230769230766,38145.07692307692,38204.0
2.4230769230769234,38704.653846153844,38103.88461538462,38189.0
2.4615384615384617,38675.07692307692,38062.692307692305,38174.0
2.5,38645.5,38021.5,38159.0
2.5384615384615383,38615.92307692308,37980.307692307695,38144.0
2.576923076923077,38586.346153846156,37939.11538461538,38129.0
2.6153846153846154,38556.769230769234,37897.92307692308,38114.0
2.6538461538461537,38527.192307692305,37856.730769230766,38099.0
2.6923076923076925,38497.61538461538,37815.53846153846,38084.0
2.730769230769231,38468.03846153846,37774.346153846156,38069.0
2.769230769230769,38438.46153846154,37733.153846153844,38054.0
2.8076923076923075,38408.88461538462,37691.96153846154,38039.0
2.8461538461538463,38379.307692307695,37650.769230769234,38024.0
2.8846153846153846,38349.730769230766,37609.57692307692,38009.0
2.9230769230769234,38320.153846153844,37568.38461538462,37994.0
2.9615384615384617,38290.57692307692,37527.192307692305,37979.0
3.0384615384615383,38220.57692307692,37459.153846153844,37935.0
3.076923076923077,38180.153846153844,37432.307692307695,37906.0
3.1153846153846154,38139.730769230766,37405.46153846154,37877.0
3.1538461538461537,38099.307692307695,37378.61538461538,37848.0
3.1923076923076925,38058.88461538462,37351.769230769234,37819.0
3.230769230769231,38018.46153846154,37324.92307692308,37790.0
3.269230769230769,37978.03846153846,37298.07692307692,37761.0
3.3076923076923075,37937.61538461538,37271.230769230766,37732.0
3.3461538461538463,37897.192307692305,37244.38461538462,37703.0
3.3846153846153846,37856.769230769234,37217.53846153846,37674.0
3.4230769230769234,37816.346153846156,37190.692307692305,37645.0
3.4615384615384617,37775.92307692308,37163.846153846156,37616.0
3.5,37735.5,37137.0,37587.0
3.5384615384615383,37695.07692307692,37110.153846153844,37558.0
3.576923076923077,37654.653846153844,37083.307692307695,37529.0
3.6153846153846154,37614.230769230766,37056.46153846154,37500.0
3.6538461538461537,37573.807692307695,37029.61538461538,37471.0
3.6923076923076925,37533.38461538462,37002.769230769234,37442.0
3.730769230769231,37492.96153846154,36975.92307692308,37413.0
